Category,References,Value,PCB Package,Unit Cost
Motors,M1,6V,NULL,"30,00 BYR"
Motors,M2,6V,NULL,"30,00 BYR"
Resistors,R1,750,1206_RES,"0,03 BYR"
Resistors,R2,1M,1206_RES,"0,03 BYR"
Resistors,R3,750,1206_RES,"0,03 BYR"
Resistors,R4,10k,1206_RES,"0,05 BYR"
Resistors,R5,10k,1206_RES,
Resistors,R6,10k,1206_RES,
Resistors,RN1.1,10k,RESCAXS127P305X508X63-8,"0,05 BYR"
Resistors,RN1.2,10k,RESCAXS127P305X508X63-8,"0,05 BYR"
Resistors,RN1.3,10k,RESCAXS127P305X508X63-8,"0,05 BYR"
Resistors,RN1.4,10k,RESCAXS127P305X508X63-8,"0,05 BYR"
Capacitors,C1,470uF/50V,CAP_ELEC_10MM,"0,55 BYR"
Capacitors,C2,0.33uF,1206_CAP,"0,12 BYR"
Capacitors,C3,0.1uF,1206_CAP,"0,08 BYR"
Capacitors,C4,100uF/16V,ELEC-RAD5,
Capacitors,C5,22u/16V,CAPMP7343X310,"0,26 BYR"
Capacitors,C7,22pF,1206_CAP,"0,05 BYR"
Capacitors,C8,22pF,1206_CAP,"0,05 BYR"
Capacitors,C9,0.1uF,1206_CAP,"0,08 BYR"
Capacitors,C10,0.1uF,1206_CAP,"0,08 BYR"
Capacitors,C11,0.1uF,1206_CAP,"0,08 BYR"
Capacitors,C12,0.1uF,1206_CAP,"0,08 BYR"
Capacitors,C13,0.1uF,1206_CAP,"0,08 BYR"
Inductors,L1,10uH,IND805,"0,45 BYR"
Integrated Circuits,DA1,L7805CV,TO220,"5,60 BYR"
Integrated Circuits,U1,ATMEGA328P,SPDIL28,"6,70 BYR"
Integrated Circuits,U2 DD1.1,SN75453BP,DIL08,"0,90 BYR"
Integrated Circuits,U2 DD1.2,SN75453BP,DIL08,"0,90 BYR"
Transistors,Q1,STU407DH,TO252-4L,"2,20 BYR"
Transistors,Q2,STU407DH,TO252-4L,"2,20 BYR"
Transistors,Q3,STU407DH,TO252-4L,"2,20 BYR"
Transistors,Q4,STU407DH,TO252-4L,"2,20 BYR"
Transistors,VT1,IRLML6344TRPBF,SOT-23,"2,57 BYR"
Transistors,VT2,IRLML6344TRPBF,SOT-23,"2,57 BYR"
Diodes,D1,LED,LEDC3224X270,"0,05 BYR"
Diodes,D2,LED,LEDC3224X270,"0,05 BYR"
Miscellaneous,ICSP,2x3_male,HEADER3X2_100_TH,"0,26 BYR"
Miscellaneous,J1,25631001RP2,CONN-SIL10,
Miscellaneous,J2,25630601RP2,CONN-SIL6,
Miscellaneous,J3,SIL-100-02,DC JACK,
Miscellaneous,JP1,1x3_male,CONN-SIL3,"0,02 BYR"
Miscellaneous,JP2,1x3_male,CONN-SIL3,"0,02 BYR"
Miscellaneous,RESET,OFF-ON-OFF,NULL,"0,16 BYR"
Miscellaneous,Y1,CRYSTAL,XTAL18,"0,45 BYR"
